2021-11-24 10:44:38,878 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.53]
2021-11-24 10:44:38,972 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2021-11-24 10:44:38,972 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.java:290 - Root WebApplicationContext: initialization completed in 1697 ms
2021-11-24 10:44:41,708 [main] INFO  [o.s.b.a.web.servlet.WelcomePageHandlerMapping] WelcomePageHandlerMapping.java:53 - Adding welcome page: class path resource [static/index.html]
2021-11-24 10:44:42,509 [main] WARN  [o.s.b.a.freemarker.FreeMarkerAutoConfiguration] FreeMarkerAutoConfiguration.java:65 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2021-11-24 10:44:42,645 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:220 - Tomcat started on port(s): 8099 (http) with context path ''
2021-11-24 10:44:42,829 [main] INFO  [o.s.m.simp.broker.SimpleBrokerMessageHandler] CompositeLog.java:137 - Starting...
2021-11-24 10:44:42,830 [main] INFO  [o.s.m.simp.broker.SimpleBrokerMessageHandler] CompositeLog.java:137 - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@17f8c75e]]
2021-11-24 10:44:42,831 [main] INFO  [o.s.m.simp.broker.SimpleBrokerMessageHandler] CompositeLog.java:137 - Started.
2021-11-24 10:44:42,843 [main] INFO  [com.example.demo.DemoApplication] StartupInfoLogger.java:61 - Started DemoApplication in 6.256 seconds (JVM running for 7.791)
2021-11-24 10:44:46,828 [http-nio-8099-exec-1] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-24 10:44:46,828 [http-nio-8099-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2021-11-24 10:44:46,831 [http-nio-8099-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 3 ms
2021-11-24 10:45:41,357 [MessageBroker-1] INFO  [o.s.web.socket.config.WebSocketMessageBrokerStats] WebSocketMessageBrokerStats.java:128 - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
